OBJECTID,ZONE_CMPLT,ZONE_CLASS,ZONE_SMRY,SHAPE_Length,SHAPE_Area
51358,R1-1,R1,RESIDENTIAL,0.012812943484131,2.84100439818691e-06
51359,R1-1-RIO,R1,RESIDENTIAL,0.00144161210021683,1.1638085761649e-07
51360,(T)(Q)RD1.5-1-RIO,RD1.5,RESIDENTIAL,0.00159899552165955,1.24389582546712e-07
51361,RA-1,RA,AGRICULTURE,0.00445308320274211,3.60983920808596e-07
51362,RA-1-RIO,RA,AGRICULTURE,0.00435418139684066,9.78881028764548e-07
51363,RA-1-RIO,RA,AGRICULTURE,0.00851192298602535,2.16286349065514e-06
51364,(T)(Q)R1-1-RIO,R1,RESIDENTIAL,0.00185799870824165,2.07795840801698e-07
51365,RA-1-K-RIO,RA,AGRICULTURE,0.00458336565003777,7.0428074050771e-07
51366,(Q)RE11-1-K-RIO,RE11,RESIDENTIAL,0.00267258867591159,3.81815343101436e-07
51367,CR(PKM)-1,CR(PKM),COMMERCIAL,0.00418264363319503,7.48758774612608e-07
51368,R1-1-HPOZ,R1,RESIDENTIAL,0.00817127694844685,1.75439517627241e-06
51369,CR(PKM)-1,CR(PKM),COMMERCIAL,0.00375419157873382,8.00034395307072e-07
51370,R3-1,R3,RESIDENTIAL,0.00410925160782632,6.66225884742731e-07
51371,R3-1,R3,RESIDENTIAL,0.00258121059258218,3.22139938773322e-07
51372,A1-1-K,A1,AGRICULTURE,0.0209719428126366,2.20716602466117e-05
51373,RA-1-K,RA,AGRICULTURE,0.00248609176527988,2.80108281934655e-07
51374,R1-1,R1,RESIDENTIAL,0.0427746369462401,8.6227475805807e-06
51375,R1-1-O-CUGU,R1,RESIDENTIAL,0.00433495306236351,1.02053292708137e-06
51376,RD2-1-RIO,RD2,RESIDENTIAL,0.00416917425343733,6.56046030347311e-07
51377,RE9-1,RE9,RESIDENTIAL,0.0161257423702629,7.04775964602245e-06
51378,[Q]R3-1,R3,RESIDENTIAL,0.00161426882160078,1.64857956973965e-07
51379,R3-1-O,R3,RESIDENTIAL,0.00386857118635515,9.22725933967073e-07
51380,C4-2,C4,COMMERCIAL,0.00218551192180915,2.96487765461153e-07
51381,RE9-1,RE9,RESIDENTIAL,0.0200816734173394,5.48910934119867e-06
51382,C2-2,C2,COMMERCIAL,0.0013873539446621,1.12114181718787e-07
51383,RE40-1,RE40,RESIDENTIAL,0.0183397630113343,9.01872669894216e-06
51384,R1-1-HPOZ,R1,RESIDENTIAL,0.0110375377009825,2.0295626722694e-06
51385,RD1.5-1,RD1.5,RESIDENTIAL,0.000919992613606231,6.13095659586152e-09
51386,(Q)R1-1,R1,RESIDENTIAL,0.00239484091839397,3.54781301754038e-07
51387,R1-1,R1,RESIDENTIAL,0.0126238314320422,3.19182730832056e-06
